digit_1,digit_2,label
41041,3237,1
51947,7375,11
28014,47136,17
8632,46170,6
11240,16604,6
23602,39077,1
6980,55781,17
18031,335,5
50944,18173,7
46285,58373,2
26516,52327,3
36434,13503,2
31064,10657,11
17303,38074,17
12832,7177,11
26158,58664,12
5604,15343,8
51764,56129,9
21015,27270,10
834,12371,1
51081,53514,3
15429,30494,8
19874,7538,18
44389,41477,15
35934,50583,4
44052,25676,0
47601,16479,11
40961,10066,8
12348,31249,12
35173,38410,12
55252,11631,5
16650,30994,8
36569,14029,5
14802,57528,14
33127,30818,6
51486,56042,16
45172,37434,8
23664,10472,2
55308,42075,6
3118,38725,17
11640,10389,12
49231,28424,9
25086,15338,6
32319,4593,13
36189,54738,18
26225,34116,11
34795,50091,5
58218,12062,7
45317,16947,4
8047,50009,4
45601,40823,10
26073,16349,6
39896,9057,17
10353,44222,10
12095,52587,7
21477,55142,10
21549,1934,4
34368,39971,17
43072,2734,3
41746,7600,3
33824,5624,2
59919,24557,11
53967,4886,6
40532,13045,12
28908,36548,13
31224,59129,8
19424,12305,18
48944,27628,9
22209,36119,3
12663,43476,3
7812,34732,16
11425,9171,5
29820,22577,7
57819,57629,0
14234,50305,16
30403,3179,11
41677,10286,14
47394,53868,18
23747,53756,17
30306,59087,13
14292,33315,7
1357,59286,17
12132,14878,12
5825,14823,12
15335,46527,17
59326,50329,9
24167,25298,9
40747,10346,1
47330,27534,3
32212,44686,8
43591,37464,12
43174,21457,17
42061,17238,13
9784,55939,10
26975,56363,14
37631,34079,7
48997,43756,4
54091,28363,13
498,35459,3
23455,53993,15
15362,35561,17
26752,15308,10
56766,54817,0
53495,56905,9
12478,50124,18
20485,32637,2
56215,22450,9
52020,31777,13
26136,29103,7
52463,37608,17
7186,9625,2
25252,43969,7
14244,52542,6
59521,9863,15
41709,36062,9
55866,11360,10
44354,47157,3
24900,58177,16
47438,29242,1
5422,58918,18
18338,43751,9
12925,26048,12
36640,45039,9
25244,19692,17
57433,42597,18
8991,55892,9
37720,267,9
37618,17528,15
37878,16268,14
3635,35046,14
20580,15211,6
10145,29803,15
36985,32159,7
48796,15472,3
21884,38682,10
40385,40194,14
3627,9743,5
46995,58605,6
9401,46883,17
45181,50142,5
17603,2600,9
45424,13447,8
21742,19469,5
50415,53408,5
40402,4797,8
57159,26455,16
52853,24180,14
35544,7406,10
43133,6870,1
46187,25438,13
179,21910,9
50110,21813,11
2630,57752,11
48715,48868,3
57180,11344,11
44808,39397,3
24159,19087,11
11252,11142,17
59542,4553,1
43429,45733,15
12466,28310,4
11132,25153,1
2628,35796,3
26480,10703,5
19653,28839,2
20742,55330,8
9082,7683,18
12323,39313,15
53885,24064,7
33970,44318,15
47736,10267,1
47573,44209,2
3799,22467,7
37209,16811,12
23135,21725,7
32119,15217,2
40469,29854,13
24907,21162,18
37700,13536,15
27840,25183,15
868,56327,14
19830,3958,17
48213,45296,13
44296,35869,12
7719,39788,0
21893,51692,14
2531,33636,17
21771,7574,10
29456,42085,5
58886,10271,15
40986,16618,0
34516,25031,15
58562,27438,15
59502,54889,17
38757,24716,5
23880,44890,18
33168,53576,4
56466,2204,13
24286,409,9
46934,39154,15
8228,15365,14
59195,31428,12
18584,11539,12
37376,27734,18
36832,26058,9
2259,51478,0
56862,41529,8
27538,48897,1
32704,47487,16
4865,15699,11
6077,8558,18
5226,46909,9
9230,20410,18
20425,41270,9
4008,50589,1
8117,32172,4
28560,40193,7
9122,55655,11
37154,6487,16
28818,31128,9
47629,4082,9
53999,32364,7
40588,17262,10
5088,8331,10
56346,16302,13
20691,35047,15
44243,47967,8
50734,21663,17
45574,25416,1
13916,39044,0
43623,32127,17
12747,14338,17
4,35734,15
38307,32818,2
36959,39702,9
9650,35467,8
3149,56304,18
32889,24118,2
25196,48755,9
9664,30046,14
21633,28532,7
17647,13105,3
19835,48317,6
6786,8385,9
34796,54037,16
9933,38844,17
51577,24126,10
49984,6318,10
2891,24877,0
9433,43034,18
26814,26301,15
35772,19307,3
11357,32503,8
54642,9744,0
14989,10618,4
30710,6335,8
48704,10421,5
46911,38782,15
33814,12336,1
32423,30753,9
28184,28857,10
21282,14881,2
24258,50181,3
13357,9238,9
34337,59257,15
1446,29088,1
48572,29817,14
10179,18815,11
58329,32202,2
49198,47427,18
52400,32368,9
39364,59590,14
47558,5746,9
11764,50575,2
39573,35831,10
12753,41203,17
39701,11162,0
9092,34405,2
11023,13497,0
35074,37494,7
57181,57834,10
15541,1799,12
51713,20858,17
46648,9210,15
44378,34811,14
10835,47448,11
11480,24003,15
18634,23926,0
21467,10318,1
53881,22003,3
17804,7975,9
15840,8727,2
40341,8338,12
4444,29502,9
28094,7979,17
19738,54628,4
35838,59800,14
31038,16765,13
54795,54687,9
30001,15676,14
29520,17401,6
42294,59106,4
27848,6554,10
49368,39393,10
286,34005,5
13155,8113,0
29916,43206,14
17397,9878,7
8798,40422,14
24097,522,16
27571,59009,2
16408,38607,7
37111,59410,11
34440,55611,8
26607,44644,15
21948,21274,11
19211,14613,9
6935,1241,3
23542,58155,10
41223,33047,11
10943,51534,12
52879,59057,17
40641,41282,1
10304,9538,7
12558,16812,11
26659,29654,11
33710,51752,16
23804,10233,8
59560,53210,16
21672,48480,12
48588,28588,4
15906,28888,9
50817,2078,2
26965,24174,13
3101,2668,8
16760,2470,6
25582,9370,4
53036,24906,3
3061,17995,2
56393,43405,18
54974,35071,11
11291,25015,17
27182,19327,16
21253,40489,14
58684,32141,5
7629,21453,2
1520,41389,5
53985,36543,2
41967,52513,15
43734,2602,15
1783,10102,9
40824,5305,10
38214,35212,1
43779,45173,13
51702,32274,0
16403,48034,2
49477,31207,16
36516,3466,12
56328,49946,12
26769,39211,5
43399,20101,5
53979,24345,0
6427,39731,17
2346,23748,9
54907,37294,4
52821,30077,3
22385,23267,7
18367,18152,16
4793,50431,3
1976,48750,9
54914,4909,17
49419,49149,3
37252,8699,7
51899,13967,1
18456,51603,10
44311,13988,14
34330,43869,12
53500,28428,0
45293,50647,1
52346,27654,9
54428,27021,15
42330,40978,9
22146,20110,4
536,38217,5
7925,4405,1
52046,20463,9
12805,26891,14
39787,37539,17
53874,42821,11
11762,50191,17
33450,34382,8
58266,50766,14
12387,47718,5
42476,4473,13
56093,31008,5
2672,7056,9
24287,13258,8
46226,15778,5
50000,49212,16
37866,6661,18
7632,14595,10
6079,57057,1
2236,31515,3
9623,33399,12
45791,41476,12
22818,3555,8
21736,25167,0
13261,3078,2
20768,5996,6
