digit_1,digit_2,label
41041,3237,1
51947,7375,5
28014,47136,15
8632,46170,8
11240,16604,6
23602,39077,9
6980,55781,13
18031,335,9
50944,18173,7
46285,58373,10
26516,52327,9
36434,13503,6
31064,10657,9
17303,38074,15
12832,7177,11
26158,58664,10
5604,15343,8
51764,56129,5
21015,27270,10
834,12371,5
51081,53514,7
15429,30494,12
19874,7538,14
44389,41477,7
35934,50583,4
44052,25676,4
47601,16479,3
40961,10066,14
12348,31249,10
35173,38410,6
55252,11631,11
16650,30994,10
36569,14029,5
14802,57528,12
33127,30818,10
51486,56042,10
45172,37434,12
23664,10472,6
55308,42075,8
3118,38725,13
11640,10389,10
49231,28424,11
25086,15338,10
32319,4593,7
36189,54738,12
26225,34116,3
34795,50091,7
58218,12062,11
45317,16947,12
8047,50009,12
45601,40823,4
26073,16349,6
39896,9057,9
10353,44222,6
12095,52587,7
21477,55142,2
21549,1934,12
34368,39971,11
43072,2734,11
41746,7600,9
33824,5624,6
59919,24557,3
53967,4886,8
40532,13045,6
28908,36548,13
31224,59129,12
19424,12305,16
48944,27628,7
22209,36119,3
12663,43476,11
7812,34732,16
11425,9171,13
29820,22577,11
57819,57629,4
14234,50305,8
30403,3179,7
41677,10286,12
47394,53868,10
23747,53756,11
30306,59087,7
14292,33315,13
1357,59286,11
12132,14878,4
5825,14823,10
15335,46527,11
59326,50329,11
24167,25298,17
40747,10346,3
47330,27534,7
32212,44686,10
43591,37464,8
43174,21457,17
42061,17238,11
9784,55939,10
26975,56363,8
37631,34079,9
48997,43756,12
54091,28363,9
498,35459,9
23455,53993,11
15362,35561,13
26752,15308,6
56766,54817,0
53495,56905,13
12478,50124,16
20485,32637,4
56215,22450,11
52020,31777,5
26136,29103,15
52463,37608,15
7186,9625,6
25252,43969,7
14244,52542,8
59521,9863,7
41709,36062,17
55866,11360,4
44354,47157,9
24900,58177,8
47438,29242,9
5422,58918,16
18338,43751,17
12925,26048,12
36640,45039,13
25244,19692,9
57433,42597,10
8991,55892,7
37720,267,17
37618,17528,7
37878,16268,12
3635,35046,10
20580,15211,14
10145,29803,7
36985,32159,13
48796,15472,11
21884,38682,2
40385,40194,8
3627,9743,7
46995,58605,10
9401,46883,11
45181,50142,13
17603,2600,9
45424,13447,12
21742,19469,7
50415,53408,11
40402,4797,12
57159,26455,16
52853,24180,8
35544,7406,8
43133,6870,3
46187,25438,7
179,21910,3
50110,21813,11
2630,57752,3
48715,48868,3
57180,11344,7
44808,39397,9
24159,19087,9
11252,11142,17
59542,4553,9
43429,45733,7
12466,28310,12
11132,25153,7
2628,35796,11
26480,10703,9
19653,28839,4
20742,55330,10
9082,7683,16
12323,39313,7
53885,24064,15
33970,44318,9
47736,10267,1
47573,44209,4
3799,22467,9
37209,16811,6
23135,21725,11
32119,15217,8
40469,29854,13
24907,21162,16
37700,13536,9
27840,25183,9
868,56327,12
19830,3958,9
48213,45296,7
44296,35869,4
7719,39788,2
21893,51692,8
2531,33636,11
21771,7574,2
29456,42085,5
58886,10271,7
40986,16618,6
34516,25031,13
58562,27438,15
59502,54889,13
38757,24716,9
23880,44890,18
33168,53576,6
56466,2204,13
24286,409,15
46934,39154,7
8228,15365,8
59195,31428,6
18584,11539,6
37376,27734,18
