i1,i2,i3,i4,label,template
12026,4336,87,6206,0,0
18456,20832,24362,4983,0,2
544,4402,17725,9870,1,5
24440,3869,14070,21942,1,6
15439,24849,9040,23740,1,1
14736,2493,4071,9634,0,2
13516,2406,19810,16815,0,2
13329,14847,18131,2869,1,2
337,14350,24079,2731,0,1
23685,16632,13360,12110,0,0
10073,12157,21620,15772,0,1
22092,3644,7269,15822,0,1
3959,14207,17117,7297,0,2
24217,19069,1718,5918,1,5
1287,21057,18392,24782,1,6
21707,24103,5967,712,1,5
20354,17742,19479,23876,1,6
20839,11079,24251,22562,0,2
7099,16838,16270,22537,1,6
22468,13370,20686,7205,1,5
24379,23721,19951,12104,0,1
17969,15858,6161,21554,1,1
13176,11454,11092,7795,1,6
19939,461,16399,11182,0,1
7757,8113,14741,10111,0,1
1530,22269,11461,14213,0,3
17463,2141,23492,18249,1,6
16459,4198,17896,24380,0,1
23386,11164,24153,11261,1,1
8122,5177,7016,18509,0,1
18877,15321,15767,18032,1,6
3853,1102,21250,24237,1,2
9885,15332,15447,18958,1,1
5718,21553,7037,9031,0,1
6473,22418,14314,14391,0,1
24888,5615,7085,24459,1,6
24027,12814,17813,20123,1,4
23915,19686,17972,1102,0,1
14081,4865,2480,23196,1,1
8995,18000,23257,9879,0,1
530,218,13133,3441,0,1
1245,1667,6776,6671,0,2
18512,3855,7938,354,0,1
22222,18796,10793,23897,1,5
255,13912,19955,5095,0,1
11545,8658,8100,22027,0,2
12166,11515,16031,777,0,1
17409,22513,20267,19443,0,2
4787,10982,261,1076,0,2
16578,2201,20467,7339,0,2
1365,21176,4992,6033,0,2
4762,8097,18515,24666,0,1
15774,16121,13816,14284,0,1
12086,18050,1510,2975,0,2
9562,3481,7101,10110,0,2
4263,4535,6026,19286,0,1
5830,11784,20826,12175,0,1
8606,7494,9474,18234,1,5
22981,10243,24190,5788,0,0
55,3793,3310,6203,1,6
6327,15024,23280,4768,0,1
6224,22337,24051,8836,0,1
22131,10982,3090,13644,0,0
9234,3954,19641,12234,0,1
19628,19347,17060,24482,0,3
11384,13769,22781,15110,0,1
17850,6386,17191,21803,0,2
1549,9153,3022,14118,1,5
5767,10910,7817,18490,0,1
710,17785,18077,4697,1,5
18537,1590,17296,11309,0,1
10615,9583,20370,20813,0,2
20751,781,13808,19080,1,7
12805,8412,8318,12419,0,1
8852,13295,4790,12405,0,3
9463,18098,20562,9459,0,3
18752,836,18939,21984,1,5
18600,15848,19776,2305,1,6
3242,4513,12800,10664,1,1
5005,1960,22688,10673,1,5
19878,6630,14499,19797,1,6
22866,9478,19238,1057,0,1
13514,22584,5918,19804,1,5
18821,15791,21571,10478,0,1
15277,8937,16835,23462,0,1
24668,12426,14851,3170,0,1
10138,16517,19748,13679,1,6
17927,19604,15189,22093,1,5
21579,14035,16696,15203,0,2
23821,7489,23896,21765,0,1
19848,3413,10816,17957,0,1
11249,21587,12598,5238,0,1
11133,15349,2507,15154,0,0
19147,14000,2823,15994,1,6
2514,21798,15614,7659,1,1
975,14419,3222,20391,0,1
7370,5616,23660,17938,0,1
15426,23269,23070,6402,0,1
7589,17878,13672,16712,1,5
2440,8201,2712,2434,0,1
21055,7249,14900,18594,0,1
20298,3592,21364,11462,1,1
9594,15301,13271,21175,0,3
19018,9465,24808,6880,1,2
24168,12589,18729,20136,0,1
3832,7386,8636,4432,0,3
13332,4503,23479,8688,0,2
8714,17879,24276,4045,1,1
153,5706,19853,11471,0,2
7697,12002,14070,15666,0,1
15615,20689,11266,16323,0,3
19603,15535,16065,14780,1,5
13073,23647,7236,14922,0,1
7103,18270,19153,19211,0,1
18266,15096,16577,10351,0,2
19946,13913,24435,5244,0,1
17036,5126,14115,8421,0,3
2783,20412,5177,2800,0,2
11704,21037,322,20308,0,2
20688,20431,13361,21578,0,1
20820,18615,22735,5323,1,6
4125,11416,16658,11354,0,2
11565,18213,14886,9317,0,2
264,11717,22772,4587,0,1
7174,14527,6750,17525,1,4
21806,12033,1562,21245,0,2
9616,9513,13257,2073,0,3
7388,1753,22373,2644,0,1
1904,19401,18859,22042,0,1
327,21298,1774,16653,0,2
10195,5197,20783,17368,0,1
24178,20196,12113,13311,0,3
4102,883,15160,15302,1,5
7993,4615,10295,1620,0,0
2293,23317,10658,15068,0,3
8891,11076,239,18179,0,0
3132,9427,16975,17922,1,5
24693,4047,14345,12628,0,3
3799,437,4522,14298,1,4
6753,14400,9658,19504,1,1
18149,22064,3769,1267,0,1
23834,4154,3741,15430,0,1
11611,4814,14502,16934,1,3
19577,22401,790,20500,1,1
7989,23708,1550,16018,1,6
4702,8328,535,22376,1,5
7946,8196,4975,11447,1,2
14198,21972,12149,5023,1,6
4327,11829,19269,15801,0,2
22510,7198,1696,1204,0,1
15384,11359,2497,21190,0,2
17201,10356,15882,7619,1,5
14068,18401,1336,1038,1,6
5517,22106,298,14064,0,2
637,4811,17178,11724,0,1
22283,12769,4019,20423,0,1
10115,8156,4723,6072,0,2
8167,4473,940,19932,0,2
13021,1115,16045,7940,0,0
10403,23227,4438,20278,0,2
22834,10540,13533,21990,0,2
23765,17492,8719,5238,1,5
22130,584,9354,2731,1,1
12761,12550,17191,12897,0,1
470,3885,24654,21283,1,6
23554,13859,20683,1284,0,0
8065,19712,18447,3225,1,5
14098,12533,6245,9707,0,1
7292,18389,11979,1538,0,2
23483,3262,12471,9984,0,1
19506,2604,5400,3950,1,1
6264,2820,21015,19933,0,1
12152,12542,2044,7549,1,5
17145,2698,19505,2505,1,5
15818,994,16649,22063,0,1
6009,3618,13923,21638,1,4
9983,15675,12873,19479,0,1
19911,18942,18458,12589,1,5
3491,17457,14139,6996,1,2
20503,14512,12697,10010,1,5
