i1,i2,i3,i4,label,template
7,8,0,11,1,5
9,12,13,3,1,1
10,4,15,5,0,1
21,18,6,16,0,2
1,17,24,36,0,1
37,2,39,25,0,1
41,14,42,19,1,7
20,43,23,22,1,5
52,32,61,33,1,1
44,28,34,47,0,2
45,29,26,60,0,1
48,35,27,62,0,2
53,30,54,67,0,1
55,50,64,31,0,1
56,65,70,63,0,3
57,66,38,73,0,2
59,68,71,76,0,2
72,74,79,40,1,4
81,46,88,69,0,1
75,49,97,78,0,1
77,89,84,51,1,6
58,90,91,85,1,1
80,92,98,94,0,1
82,100,83,107,0,1
86,103,95,87,0,1
96,111,101,93,0,2
102,105,115,99,0,3
120,108,116,104,0,2
144,113,106,109,0,2
146,114,123,110,1,7
147,148,112,127,0,2
152,124,117,121,0,3
155,131,125,122,0,2
156,126,129,118,0,2
157,133,119,137,1,6
168,128,171,130,1,5
136,139,141,153,1,2
179,154,140,162,1,5
180,134,183,132,0,1
189,142,138,135,0,2
192,145,149,173,0,1
197,143,212,174,0,1
214,176,161,151,0,1
215,158,150,163,0,1
218,167,182,165,0,2
175,166,169,185,1,3
220,226,159,170,0,2
228,191,178,160,0,1
231,177,193,164,0,2
234,202,253,184,1,5
256,186,196,198,1,6
261,204,172,205,0,1
262,206,181,208,0,1
263,222,190,233,1,5
264,238,187,239,1,5
266,207,188,241,0,1
199,244,194,265,1,5
270,209,223,195,1,5
213,216,269,200,1,2
272,219,229,201,0,1
230,203,210,277,1,3
285,280,224,242,0,1
291,293,211,217,0,2
297,245,315,287,0,1
227,221,288,235,1,6
327,247,250,294,0,0
332,248,299,225,0,2
340,251,232,302,0,0
236,237,306,318,1,2
341,348,240,320,0,2
255,243,252,329,0,1
257,258,246,330,1,4
350,254,273,335,0,1
353,274,249,339,0,2
358,342,275,267,0,1
281,259,271,343,0,2
286,260,278,346,0,1
290,268,279,282,1,6
362,289,364,356,0,1
365,276,298,357,1,4
283,284,301,369,1,4
370,303,307,372,0,3
374,292,295,308,0,2
379,375,304,296,0,1
305,300,311,376,0,2
380,309,377,316,1,6
312,319,381,321,1,6
313,310,382,325,1,6
385,314,328,388,0,1
322,317,334,392,0,3
386,331,323,336,0,2
344,324,337,403,0,1
389,326,349,404,0,0
390,411,359,333,0,1
393,352,361,354,0,1
366,428,338,355,1,5
395,373,360,430,0,1
397,384,363,434,0,3
345,347,371,378,1,2
406,351,436,383,0,2
408,400,405,391,1,5
410,398,421,402,1,1
413,425,367,407,0,2
427,368,439,420,0,2
414,387,429,394,1,5
417,435,440,418,1,6
422,445,424,443,0,3
426,431,448,447,0,2
437,451,396,433,0,1
438,449,399,452,0,1
459,401,442,454,0,1
464,446,468,450,1,1
441,409,469,463,0,1
458,471,465,457,0,0
461,466,467,460,1,5
477,470,478,412,1,5
480,485,479,415,1,4
486,472,490,416,0,1
487,474,419,473,0,1
488,491,423,501,0,2
504,481,508,482,1,1
496,432,511,444,0,1
500,453,489,484,0,1
506,515,455,494,0,3
514,516,492,495,0,2
520,517,503,502,0,0
526,521,509,510,0,3
529,456,524,518,0,2
543,527,528,534,0,1
546,539,530,462,0,1
532,475,476,522,1,1
537,547,553,523,1,5
538,533,483,557,0,1
548,551,550,493,0,1
558,497,554,562,0,2
559,555,540,564,1,5
560,545,498,566,0,2
573,549,569,568,1,6
577,561,499,572,0,0
578,563,505,574,1,6
579,565,507,582,0,1
570,512,587,581,1,6
576,513,588,589,1,2
584,580,519,597,0,2
583,601,592,595,1,6
590,525,585,609,0,1
598,531,596,612,0,2
618,615,586,603,0,1
620,616,535,617,1,5
627,536,606,541,0,2
633,593,542,624,1,6
648,544,632,613,0,2
653,594,623,635,1,6
654,552,599,556,1,5
600,640,567,626,0,1
663,672,628,571,0,2
604,575,644,634,0,1
605,645,591,647,1,5
673,602,649,651,1,6
684,614,652,622,0,2
687,656,625,638,0,1
689,658,639,659,0,2
691,641,629,665,0,1
700,630,636,671,1,5
607,643,642,650,1,2
718,664,682,655,0,2
730,666,608,657,0,1
737,610,688,660,0,3
747,611,662,669,0,2
748,619,668,621,1,6
749,631,674,695,1,5
750,637,676,646,1,6
752,661,698,670,0,3
753,701,756,679,1,5
690,675,692,702,1,1
757,667,696,693,1,4
677,712,697,703,0,2
759,709,717,704,0,1
763,678,719,722,0,1
764,705,680,720,0,1
767,731,727,707,0,1
681,708,734,711,1,1
771,728,729,713,0,3
774,683,685,739,0,3
776,716,686,761,0,1
779,694,699,733,0,3
780,706,783,723,1,5
785,736,765,725,0,1
710,773,726,738,1,6
714,787,715,732,1,5
797,743,805,790,1,5
721,744,795,724,1,6
742,735,802,740,1,1
807,746,751,814,1,6
810,758,754,741,1,5
755,821,768,745,1,1
812,824,769,760,1,5
822,772,833,766,0,0
826,762,836,781,0,0
770,784,775,840,0,1
782,786,777,841,0,1
829,788,844,778,0,2
831,789,804,853,0,2
794,855,813,823,1,2
791,830,799,857,0,1
834,800,792,860,0,1
835,803,872,842,0,2
837,809,877,859,0,1
839,793,879,861,0,0
847,796,819,862,0,0
820,825,881,863,1,2
798,828,886,867,0,2
801,889,806,832,1,5
849,808,838,880,0,1
811,882,906,887,1,1
850,843,912,888,0,0
815,845,915,891,0,2
851,919,848,894,0,1
816,852,896,923,0,2
854,817,818,898,0,3
858,900,827,916,0,1
864,846,932,918,0,2
856,920,865,939,0,1
869,866,951,921,0,1
873,885,952,871,1,2
875,956,965,926,1,1
868,876,968,935,0,3
893,938,895,940,1,1
969,941,981,946,1,1
870,899,988,878,0,2
874,884,883,903,0,2
905,892,999,949,0,0
890,908,897,1002,0,0
901,909,902,950,0,1
904,911,1007,961,0,1
910,907,917,966,0,1
927,930,922,924,0,2
931,913,925,972,0,1
928,914,1016,990,0,1
933,929,993,936,0,2
1020,998,1023,1014,1,1
934,942,1021,945,0,2
937,1029,948,1024,0,1
943,944,1030,954,0,2
947,953,1025,957,0,2
955,1026,960,958,0,1
962,967,970,1028,1,1
959,963,973,1036,1,7
977,1038,980,964,1,5
971,974,978,1042,1,1
983,975,1049,984,1,6
986,1044,985,1050,1,5
987,991,1045,1069,0,2
976,989,1070,1052,0,2
979,992,1054,1075,1,6
994,982,1059,1076,0,2
996,997,1000,1063,0,1
1009,995,1079,1001,0,2
1003,1004,1082,1005,1,6
1012,1017,1083,1073,1,2
1010,1006,1008,1078,0,1
1013,1011,1087,1086,0,3
1015,1032,1019,1089,0,1
1033,1090,1027,1101,0,1
1018,1031,1122,1103,1,6
1039,1035,1107,1123,0,2
1022,1041,1047,1150,0,3
1034,1051,1037,1158,1,5
1040,1055,1046,1112,0,1
1043,1121,1162,1053,1,6
1048,1056,1126,1167,0,3
1062,1060,1057,1129,0,1
1058,1066,1130,1068,1,2
1064,1061,1071,1169,0,3
1080,1072,1131,1170,0,1
1065,1074,1175,1142,0,2
1067,1143,1180,1149,1,6
1077,1084,1155,1085,1,6
1081,1093,1160,1181,1,4
1095,1184,1099,1094,1,5
1088,1163,1091,1185,1,5
1100,1096,1092,1174,0,2
1104,1178,1097,1102,0,1
1098,1108,1187,1196,1,2
1105,1111,1109,1189,0,0
1106,1114,1110,1195,0,1
1113,1115,1117,1197,0,1
1116,1198,1119,1202,0,1
1124,1120,1210,1205,0,1
1127,1209,1128,1118,0,1
1132,1133,1125,1211,0,2
1134,1136,1141,1212,0,1
1135,1213,1148,1215,0,1
1137,1165,1171,1220,0,1
1138,1139,1230,1232,1,6
1144,1173,1234,1140,1,6
1179,1217,1191,1145,1,5
1146,1243,1200,1221,0,1
1153,1154,1245,1206,0,2
1214,1228,1231,1249,1,3
1216,1236,1224,1147,1,1
1157,1151,1227,1250,0,1
1166,1152,1258,1242,0,2
1168,1172,1244,1259,0,2
1182,1233,1251,1156,0,2
1183,1235,1159,1261,1,7
1199,1238,1161,1252,0,2
1164,1262,1263,1268,1,6
1201,1239,1176,1266,0,2
1203,1270,1246,1177,0,1
1204,1207,1255,1186,0,2
1208,1260,1188,1267,0,1
1229,1264,1190,1269,0,0
1237,1276,1192,1273,1,6
1300,1277,1193,1274,0,1
1240,1253,1307,1194,0,2
1254,1308,1279,1284,0,2
1281,1312,1275,1218,0,2
1287,1315,1278,1286,0,3
1289,1320,1282,1290,0,0
1322,1326,1219,1283,1,4
1222,1288,1223,1291,1,1
1336,1225,1294,1292,1,6
1295,1337,1226,1299,0,3
1296,1339,1241,1298,0,3
1304,1344,1301,1302,0,2
1309,1354,1247,1305,1,7
1311,1357,1310,1303,0,0
1318,1319,1306,1314,1,2
1323,1248,1317,1329,0,2
1368,1256,1375,1331,1,5
1381,1257,1324,1265,1,2
1325,1328,1271,1333,0,1
1332,1342,1335,1397,0,1
1347,1334,1398,1343,0,1
1350,1345,1353,1272,1,5
1408,1346,1280,1348,1,5
1355,1413,1285,1359,0,1
1360,1363,1419,1421,0,2
1434,1361,1293,1349,0,1
1364,1442,1297,1365,1,5
